date,text,grid,template,src
,"<li>  The City Council unanimously approved Johnson’s appointment as police superintendent. </li><li>  The mayor’s task force on police accountability <a href=""https://www.wbez.org/shows/wbez-news/report-chicago-cops-need-to-acknowledge-racism-reform/85e6c70a-91c4-430a-b88a-0d16720db74c""> released its recommendations </a>, which included dismantling IPRA, the city’s police oversight agency, and urging the police department to acknowledge its history of institutional racism. </li><li>  ""We fundamentally believe that until the department really sincerely acknowledges that reality, that history, what their role has been ... in creating that perception, it’s going to be virtually impossible for them to move forward in any meaningful way with the community. It’s got to be done,"" said task force chair and Chicago Police Board President Lori Lightfoot on <a href=""https://www.wbez.org/shows/morning-shift/police-accountability-task-force-recommends-drastic-changes-to-cpd/e26f7593-7bc7-451d-a552-713afbd091ce""> WBEZ’s Morning Shift </a>. </li><li>  Fairley, the head of IPRA, told reporters she supports the plan. </li>",,list,
,Here and Now: Blistering Report Calls On Chicago Police To Acknowledge Racism,,link,https://www.wbez.org/shows/here-and-now/blistering-report-calls-on-chicago-police-to-acknowledge-racism/2c0b0784-517b-4932-a62e-7b570626960d
,Morning Shift: IPRA Chief Administrator On The Future Of Police Oversight In Chicago,,link,https://www.wbez.org/shows/morning-shift/the-future-of-police-oversight-in-chicago/fc2f05cb-4de3-4160-9b1f-40220b6ae5ed
"May 5, 2016",,,date,
,"<li>  Outgoing Cook County State’s Attorney Alvarez, in a reversal, requested a special prosecutor for the Van Dyke murder case. </li>",,list,
,WBEZ: Police Data Cast Doubt On Chicago-Style Stop-And-Frisk,,link,https://www.wbez.org/shows/wbez-news/contact-card-data-cast-doubt-on-chicagostyle-stopandfrisk/d79738c6-b5a2-494d-acaf-e659969b3e6b
"June 3, 2016",,,date,
,"<li>  IPRA released videos and other information <a href=""http://www.iprachicago.org/news-publications/case-portal/""> in more than 100 cases </a>, an unprecedented move by the police oversight agency. </li>",,list,
"July 29, 2016",,,date,
,<li>  Former Cook County judge Patricia Brown Holmes was appointed as special prosecutor to investigate whether any Chicago police personnel engaged in a coverup after the McDonald shooting. </li>,,list,
"Aug. 4, 2016",,,date,
,<li>  A Cook County judge swore in Kane County State’s Attorney Joseph McMahon as special prosecutor in the Van Dyke murder case. </li>,,list,
"Aug. 5, 2016",,,date,
,"<li>  IPRA released videos from the fatal police shooting of 18-year-old Paul O’Neal, who was shot July 28 on the South Side as he fled from a Jaguar that was reportedly stolen. Fairley said she decided to release the recordings eight days after the shooting instead of waiting for the investigation to conclude — the rationale various officials gave for withholding the McDonald video for more than a year. </li><li>  “When I was first appointed in December, I think it was clear that the city had been operating under this sort of basic, bright-line rule that they just did not release any evidence in an ongoing investigation until the criminal investigation was complete,” Fairley said on <a href=""http://chicagotonight.wttw.com/2016/08/08/ipra-chief-sharon-fairley-explains-decision-releasing-o-neal-videos""> WTTW’s Chicago Tonight. </a> </li><li>  “It was painfully clear to me that that rule is no longer tenable in this day and age. With every case, we will no longer follow that rule, and we will weigh the public interest in information versus the potential risk to an ongoing investigation in making the determination as when and if any kinds of evidence will be released.” </li>",,list,
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image05.jpg
,"In this frame grab from a body cam provided by the Independent Police Review Authority, a Chicago police officer fires into a stolen car driven by Paul O’Neal on July 28, 2016. (Chicago Police Department/Independent Police Review Authority via AP)",,caption,
"Aug. 16, 2016",,,date,
,"<li>  In a report delivered to Police Supt. Johnson, Chicago Inspector General Joseph Ferguson recommended firing 11 officers connected to the McDonald shooting, including Van Dyke. Johnson would later bring dismissal charges against Van Dyke, three other patrol officers and a sergeant, who are all accused of reporting false statements about the McDonald shooting. </li><li>  After being passed over for the city’s top cop position, First Deputy Supt. John Escalante said he will leave the department and work as head of security of Northeastern Illinois University. </li>",,list,
"Sept. 12, 2016",,,date,
,"<li>  Patricia Brown Holmes, the special prosecutor investigating an alleged cover-up in the McDonald shooting, asked for a grand jury. </li>",,list,
"Sept. 21, 2016",,,date,
,"<li>  Police Supt. Johnson said the city will add 970 cops to the force. The announcement came as the city recorded more than 500 homicides in 2016. In August alone, the city saw 90 homicides, more than in any other month in two decades. </li>",,list,
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image07.jpg
,"Mayor Rahm Emanuel delivers a plan to combat the city’s gun violence at Malcolm X Community College on Sept. 22, 2016. (AP Photo/Charles Rex Arbogast)",,caption,
"Sept. 22, 2016",,,date,
,<li>  Emanuel delivered a much-hyped speech on public safety that emphasized the need for more youth mentoring programs and economic investments in disadvantaged neighborhoods. </li>,,list,
"Oct. 5, 2016",,,date,
,"<li>  The City Council approved Emanuel’s plan to replace IPRA with a new agency, the Civilian Office of Police Accountability, that would have more funding and expanded powers. Aldermen also approved the mayor’s plan to create a police watchdog unit under the city’s inspector general. </li><li>  The mayor and aldermen promised to create a third new entity, a community oversight board, in the future. The board would select the head of COPA. In the meantime, Fairley agreed to stay on as interim COPA chief. </li>",,list,
"Nov. 8, 2016",,,date,
,"<li>  Donald Trump won the presidential election. During the campaign trail, Trump criticized the Obama administration’s investigations into police departments throughout the country. </li>",,list,
"Nov. 16, 2016",,,date,
,"<li>  Patricia Brown Holmes, the special prosecutor assigned to investigate a possible cover-up after the McDonald shooting, said a special grand jury had been impaneled to hear evidence in the case. </li>",,list,
"Jan. 4, 2017",,,date,
,"<li>  Federal investigators feel pressured to release the findings of their investigation into the Chicago Police Department because they fear their report will be delayed or buried with the incoming Trump administration, <a href=""https://www.wbez.org/shows/wbez-news/sources-doj-plans-to-release-report-on-chicago-police-next-week/b6d49fbb-8170-46a5-9daf-1d0af24f7991""> sources familiar with the probe told WBEZ </a>. </li>",,list,
"Jan. 10, 2017",,,date,
,"<li>  During a confirmation hearing, Trump’s nominee for attorney general, Alabama Sen. Jeff Sessions, criticized federal investigations into police departments and said they lower morale among officers. </li>",,list,
,"“Morale has been affected, and it's impacted the crime rates in Baltimore and crime rates in Chicago. I don't think there's any doubt about it,” Sessions said,",,main,
"Jan. 13, 2017",,,date,
,"<li>  The U.S. Department of Justice concludes its long-awaited investigation and found that the Chicago Police Department <a href=""https://www.wbez.org/shows/wbez-news/feds-chicago-police-violated-us-constitution/1fb13076-5e65-4409-aab7-ab8970700fb9""> systematically violated the U.S. Constitution and federal laws </a>. The report said officers used “unreasonable” deadly force, failed to de-escalate situations and used tactics that unnecessarily endangers officers. The report also found that discipline of officers is “haphazard, unpredictable and does not deter misconduct.” The city and the Justice Department agreed to continue negotiate over a court-enforce agreement to ensure further reforms are implemented. </li>",,list,
